osm_railway_58_signal_58_speed_limit_58_form;
osm_railway_58_signal_58_speed_limit_58_height;
osm_railway_58_signal_58_speed_limit_58_speed;keep
osm_railway_58_signal_58_main_58_states;
osm_railway_58_signal_58_main_58_substitute_signal;
osm_railway_58_signal_58_distant_58_shortened;
osm_width;keep
osm_brothel_58_contact_bar;
osm_school;keep
osm_light_rail;
osm_hinge;
osm_street_cabinet;
osm_hiking;
osm_observatory_58_type;
osm_headframe;
osm_emergency_telephone_code;
osm_emergency_telephone_service;
osm_health;keep
osm_route;
osm_drink_58_aloha;
osm_drink_58_fritz_45_kola;
osm_deaddrop_58_desc;
osm_deaddrop_58_size;
osm_deaddrop_58_type;
osm_designation;
osm_railway_58_signal_58_stop;
osm_railway_58_signal_58_stop_58_form;
osm_railway_58_signal_58_minor_58_height;
osm_railway_58_signal_58_minor_58_states;
osm_diet_58_kosher;
osm_artist;
osm_memorial_58_addr;
osm_memorial_58_date;
osm_memorial_58_ref;
osm_memorial_58_text;
osm_person_58_date_of_birth;
osm_person_58_name;
osm_website2;
osm_website3;
osm_model;
osm_social_facility_58_for;keep
osm_advertising;
osm_depth;keep
osm_amperage;
osm_charging;
osm_rwetempcharging_station_58_plug;
osm_source_58_delivery_date;
osm_generator_58_output_58_hot_water;
osm_generator_58_place;
osm_service_58_bicycle_58_diy;
osm_recycling_58_electrical_items;
osm_diet_58_vegetarian;
osm_entrance_58_access;
osm_payment_58_account_cards;
osm_hazard;
osm_short_name;
osm_car_service;keep
osm_usage;
osm_produce;
osm_buoy;
osm_ft_symbol;
osm_seamark;
osm_wheelchair_shelter;
osm_contact_58_phone_1;
osm_second_hand;
osm_lawyer;keep
osm_clothes;keep
osm_website_58_catalogue;
osm_hoops;
osm_authentication_58_membership_card;
osm_socket_58_schuko;
osm_dance_58_style;
osm_dance_58_teaching;
osm_restriction;
osm_MCC;
osm_communication_58_mobile_phone;
osm_gsm_58_cellid;
osm_payment_58_none;
osm_ID_58_tobwen;
osm_platforms;
osm_u;
osm_handrail_58_center;
osm_handrail_58_left;
osm_handrail_58_right;
osm_incline;keep
osm_ramp;keep
osm_ramp_58_bicycle;
osm_ramp_58_luggage;
osm_ramp_58_stroller;
osm_ramp_58_wheelchair;
osm_step_46_condition;
osm_step_46_height;keep
osm_step_46_length;keep
osm_step_count;
osm_surface_46_material;
osm_toll;
osm_male;
osm_cemetery;keep
osm_seamark_58_notice_58_addition;
osm_seamark_58_notice_58_impact;
osm_seamark_58_notice_58_information;
osm_contact_58_website_1;
osm_charging_station_58_capacity_58_bicycle;
osm_charging_station_type;
osm_seamark_58_buoy_lateral_58_category;
osm_seamark_58_buoy_lateral_58_colour;
osm_seamark_58_buoy_lateral_58_shape;
osm_seamark_58_buoy_lateral_58_system;
osm_seamark_58_conspicuity;
osm_seamark_58_construction;
osm_seamark_58_status;
osm_manhole;keep
osm_lamp_model_58_de;
osm_health_facility_58_type;keep
osm_health_specialty_58_family_medicine;
osm_medical_system_58_western;
osm_web;
osm_playground;
osm_obstacle;keep
osm_obstacle_name;keep
osm_river_58_waterway_distance;
osm_seamark_58_bridge_58_category;
osm_seamark_58_bridge_58_clearance_height;
osm_seamark_58_distance_mark_58_category;
osm_seamark_58_distance_mark_58_distance;
osm_seamark_58_distance_mark_58_units;
osm_length;
osm_canoe;
osm_drink_58_afri_45_cola;
osm_license_classes;
osm_abandoned;keep
osm_brewery;keep
osm_nudism;keep
osm_inscription_58_de;
osm_ref_58_lcnaf;
osm_brothel_58_apartment;
osm_brothel_58_escort_services;
osm_stone_type;
osm_public_bookcase_58_type;
osm_trade;
osm_source_58_amenity;
osm_source_58_operator;
osm_rental;keep
osm_junction;
osm_brothel_58_saunaclub;
osm_gas;keep
osm_crossing_58_bell;
osm_description_58_de;
osm_pipeline;keep
osm_recycling_58_computers;
osm_recycling_58_mobile_phones;
osm_repair;keep
osm_health_specialty_58_paediatrics;
osm_health_specialty_58_neurology;
osm_health_specialty_58_internal_medicine;
osm_health_specialty_58_acupuncture;
osm_health_specialty_58_plastic_surgery;
osm_health_specialty_58_sports_medicine;
osm_monitoring_58_weather;
osm_recording_58_remote;
osm_weather_58_anemometer;
osm_weather_58_barometer;
osm_weather_58_ceiling_projector;
osm_weather_58_hygrometer;
osm_weather_58_rain_gauge;
osm_weather_58_thermometer;
osm_weather_58_transmissiometer;
osm_weather_58_wind_vane;
osm_bunker_type;
osm_military;
osm_disused_58_man_made;
osm_disused_58_surveillance;
osm_mast_58_ground;
osm_surveillance_58_zone;
osm_sanitary_dump_station_58_accepted;
osm_water_point;
osm_carpenter;keep
osm_entrance_58_tram;
osm_beauty;keep
osm_hunting_stand;
osm_raised;
osm_abandoned_58_railway;
osm_ref_58_herdecke;
osm_authentication_58_none;
osm_car;keep
osm_scooter;
osm_truck;
osm_sound;
osm_lamp_flames;
osm_lamp_type;
osm_communication;
osm_tactile_writing_58_braille_58_lg;
osm_person_58_date_of_death;
osm_circumference;
osm_species_58_en;
osm_species_58_eo;
osm_collapsed;
osm_addr_58_door;
osm_brothel_58_gangbang;
osm_contact_58_phone_58_2;
osm_mount;
osm_payment_58_bitcoin;
osm_colour_58_back;
osm_colour_58_text;
osm_location;
osm_aerialway;keep
osm_siren_58_model;
osm_siren_58_purpose;
osm_siren_58_type;
osm_camera_58_type;
osm_fire_hydrant_58_count;
osm_railway_58_signal_58_electricity;
osm_railway_58_signal_58_electricity_58_form;
osm_railway_58_signal_58_electricity_58_type;
osm_railway_58_signal_58_shunting;
osm_railway_58_signal_58_shunting_58_form;
osm_year_abandoned;keep
osm_url;
osm_monitoring_58_air_quality;
osm_socket_58_type2;
osm_roof_58_levels;
osm_sensor_58_make;
osm_sensor_58_mount;
osm_sensor_58_type;
osm_facebook;
osm_camera_58_make;
osm_camera_58_recording;
osm_camera_58_model;
osm_node;keep
osm_post_office_58_type;
osm_education;keep
osm_ladder;
osm_lockable;
osm_survey_58_date;
osm_addr_58_state;
osm_health_specialty_58_physiotherapy;
osm_seamark_58_notice_58_orientation;
osm_tobacco;
osm_membership;keep
osm_sports_centre;keep
osm_cuisine_1;
osm_generator_58_type;
osm_tickets_58_public_transport;
osm_ticket_58_public_transport;
osm_service_times;
osm_substation;
osm_aed_58_location;
osm_aed_58_location_58_de;
osm_blind_58_description_58_de;
osm_blind_58_description_58_en;
osm_speech_output;
osm_tactile_writing_58_braille_58_de;
