"file_in";"ObjAB";"ObjAG";"ObjAGN";"ObjArt";"ObjArtN";"Geometrie";"Feld_in";"Quelle";"Dateiname_out";"Feld_out";"Wert_out";"Prioritaet";"Out_ID1"
"StehendeGewaesser.shp";"UmweltVersorgung";1100;"UmweltVersorgung";"1100_011";"StehendeGewaesser";"Polygon";"Spezi";"ATKIS/ALKIS";"AX_StehendesGewaesser.shp";"FKT";"";3;"OldID_str"
"Strassennetz.shp";"Netzwerke";9000;"Netzwerke";"9000_007";"Strassennetz";"Line";"nurGeometrie";"ATKIS";"AX_Strasse.shp";"";"";3;"OldID_str"
"Studentenwohnheim.shp";"POI";4000;"Soziales";"4000_007";"Studentenwohnheim";"Point";"nurGeometrie";"ALKIS";"AX_Gebaeude.shp";"GFK";"1024";3;"OldID_str"
"Studentenwohnheim.shp";"POI";4000;"Soziales";"4000_007";"Studentenwohnheim";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"1020";3;"OldID_str"
"Theater.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_018";"Theater";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4240";3;"OldID_str"
"Theater.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_018";"Theater";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"3032";3;"OldID_str"
"Theater.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_018";"Theater";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"WGF";"1110";3;"OldID_str"
"Tiergehege.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_019";"Tiergehege";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4210";3;"OldID_str"
"Tiergehege.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_019";"Tiergehege";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4220";3;"OldID_str"
"Tiergehege.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_019";"Tiergehege";"Point";"nurGeometrie";"ALKIS";"AX_Gebaeude.shp";"GFK";"3263";3;"OldID_str"
"Tiergehege.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_019";"Tiergehege";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"3262";3;"OldID_str"
"Tiergehege.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_019";"Tiergehege";"Point";"Spezi";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"";3;"OldID_str"
"Tiergehege.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_019";"Tiergehege";"Point";"Spezi";"ATKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"";3;"OldID_str"
"Tiergehege.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_019";"Tiergehege";"Point";"Spezi";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"";3;"OldID_str"
"Touristeninformation.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_020";"Touristeninformation";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"3290";3;"OldID_str"
"Touristeninformation.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_020";"Touristeninformation";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"WGF";"1200";3;"OldID_str"
